timestamp,ambient_temperature_c,wind_speed_mps,humidity_percent,rpm,output_power_w,generator_voltage_v,generator_current_a,noise_db,vibration_mmps
2024-08-06T00:00,28.1,11.40049127,85,569.6875215,563.3871574,228.0083307,2.527642853,78.09229191,6.957959836
2024-08-06T01:00,27.8,12.04381294,88,602.2097076,664.187613,240.9502058,2.770526503,81.83363447,7.795845399
2024-08-06T02:00,27.6,13.3242738,89,665.7841399,894.7956618,266.4301158,3.309969513,89.18343056,9.523478385
2024-08-06T03:00,27.2,12.81000982,92,639.7384859,796.1170898,255.9153238,3.097968808,86.1426088,8.775003682
2024-08-06T04:00,27.2,11.96610402,92,598.2804354,652.9450268,239.4274867,2.655693348,81.31250169,7.687346299
2024-08-06T05:00,27.2,13.88672397,91,694.5595318,1014.927636,277.8986654,3.654178089,92.6902311,10.35017475
2024-08-06T06:00,27.5,14.99817189,88,749.73892,1278.962949,299.9062251,4.33894269,98.30739924,12.05782967
2024-08-06T07:00,27.9,17.15117087,86,856.6407354,1910.096837,342.7451326,5.551950264,109.906041,15.74374979
2024-08-06T08:00,28.3,19.04928658,83,951.9274548,2623.469792,380.6029179,6.940435165,120.383137,19.45383012
2024-08-06T09:00,28.7,19.00506002,80,950.455604,2599.254166,380.2997559,6.768596865,120.7165184,19.38099257
2024-08-06T10:00,29.5,18.82360721,76,941.4580752,2527.80298,376.5495945,6.704007933,119.6174932,18.99584109
2024-08-06T11:00,29.2,18.88541399,77,944.367234,2551.081943,377.9007784,6.755101239,120.0565096,19.12002834
2024-08-06T12:00,29.3,17.9113463,77,895.145551,2177.249351,358.0028564,6.100471507,114.3330305,17.21299984
2024-08-06T13:00,29.6,19.05635517,76,952.8118278,2622.450637,381.1101378,6.790746577,121.1338816,19.48462667
2024-08-06T14:00,29.4,19.06784876,77,953.5943211,2627.344733,381.414241,6.915272226,121.1989157,19.50838968
2024-08-06T15:00,29.5,21.00340027,77,1050.077563,3510.182973,420.0363317,8.368276671,131.6335849,23.66901551
2024-08-06T16:00,29.0,23.06547631,79,1153.381765,4648.517562,461.302918,10.09693567,142.5526109,28.54067659
2024-08-06T17:00,28.7,24.82572669,82,1241.685184,5799.028318,496.565844,11.76912351,151.9948601,33.07034654
2024-08-06T18:00,28.8,16.91004932,79,845.6817532,1830.050889,338.3144784,5.54413968,109.1530502,15.33783038
2024-08-06T19:00,28.5,15.50467982,82,775.8139882,1409.043499,310.3797356,4.545221995,101.3662017,12.9042305
2024-08-06T20:00,28.2,17.66451797,84,883.9934475,2088.976936,353.5698412,5.955574207,113.3843507,16.74579099
